"Region","fecha","Casos","Lower","Upper"
"Total País",2024-12-30,5104.57075848451,4602.20643337236,5606.93508359667
"Total País",2025-01-06,3825.15632278791,3061.24231088703,4589.07033468878
"Total País",2025-01-13,3632.28000838683,2675.84949862148,4588.71051815218
"Total País",2025-01-20,3500.00278159494,2383.779675563,4616.22588762687
"Total País",2025-01-27,3373.12964395978,2117.28382345997,4628.9754644596
"Total País",2025-02-03,3446.67760653947,2065.24956741058,4828.10564566837
"Total País",2025-02-10,3386.10726861444,1889.59862189262,4882.61591533625
"Total País",2025-02-17,3478.75031096502,1875.39980900624,5082.10081292381
"Total País",2025-02-24,3464.87991517181,1761.37542895932,5168.38440138431
"Total País",2025-03-03,3461.53104748789,1663.44255218053,5259.61954279525
"Total País",2025-03-10,3736.04546375473,1848.10559729635,5623.98533021311
"Total País",2025-03-17,4097.84843243451,2124.14337803445,6071.55348683457
"Total País",2025-03-24,4539.73797941834,2483.84247036134,6595.63348847533
"Total País",2025-03-31,4575.0965308021,2440.17239946823,6710.02066213596
"Total País",2025-04-07,4786.44258192129,2575.31261085744,6997.57255298513
"Total País",2025-04-14,5123.91015471429,2839.11466029563,7408.70564913295
"Total País",2025-04-21,5506.10190482366,3149.942921714,7862.26088793332
"Total País",2025-04-28,6193.07275066486,3767.64910600934,8618.49639532037
"Total País",2025-05-05,7035.48704217968,4542.72260115992,9528.25148319943
"Total País",2025-05-12,7862.16670393452,5303.83340649974,10420.5000013693
"Total País",2025-05-19,8451.88014136949,5829.61700371404,11074.1432790249
"Total País",2025-05-26,8136.51231578388,5451.84126229493,10821.1833692728
"Total País",2025-06-02,7547.21191233441,4801.55108700152,10292.8727376673
"Total País",2025-06-09,6846.21220733718,4040.88725822968,9651.53715644469
"Total País",2025-06-16,6320.04217465124,3456.2958918264,9183.78845747608
"Total País",2025-06-23,6073.98378691431,3152.98439035643,8994.98318347219
"Total País",2025-06-30,5669.3060584808,2692.15436987305,8646.45774708854
"Total País",2025-07-07,5464.65479983809,2432.39048430455,8496.91911537162
"Total País",2025-07-14,5871.52113647948,2785.12816384533,8957.91410911364
"Total País",2025-07-21,6022.73104800954,2883.14249474625,9162.31960127283
"Total País",2025-07-28,6299.21306059448,3107.31535138967,9491.11076979929
"Total País",2025-08-04,6652.36517682013,3409.00184714826,9895.72850649199
"Total País",2025-08-11,7522.24278475224,4228.21783182894,10816.2677376755
"Total País",2025-08-18,7487.49926985428,4143.5801481215,10831.4183915871
"Total País",2025-08-25,7628.18119011686,4235.10149831972,11021.260881914
"Total País",2025-09-01,7655.46666427229,4213.92856379032,11097.0047647543
